YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1898   -3.7   -8.4   -6.8    1.8   11.5   15.7   16.8   17.2    9.8    2.7    2.4   -2.9    -5.8     2.2    16.6     5.0    4.48
1899   -6.9   -8.1   -8.1    3.0    8.4   11.4   19.6   13.3   10.9    6.1    1.5   -7.9    -6.0     1.1    14.8     6.2    4.02
1900   -8.6   -8.7   -5.6    1.8    7.8   13.0   16.3   17.5    9.6    5.9   -1.4   -4.8    -8.4     1.3    15.6     4.7    3.31
1901   -3.2  -10.2   -5.7    3.3    9.4   17.4   19.3   17.6   11.8    6.9   -2.5   -8.9    -6.1     2.3    18.1     5.4    4.94
1902   -9.2   -7.6   -5.2   -1.5    8.0   12.4   14.9   13.6    9.2    2.3   -3.2   -8.8    -8.6     0.4    13.6     2.8    2.07
1903   -6.6   -3.5    0.4    5.6   10.1   16.3   16.5   14.8   11.6    1.1    1.1   -3.7    -6.3     5.4    15.9     4.6    4.88
1904   -3.1   -7.6   -3.9    4.1    6.8   12.2   14.3   14.2   10.6    6.3   -2.0   -6.0    -4.8     2.3    13.6     5.0    4.02
1905   -8.5   -4.2   -1.3    2.3   10.9   16.7   16.9   14.9   10.1    4.0    0.1   -3.5    -6.2     4.0    16.2     4.7    4.66
1906   -4.9   -4.9   -4.3    4.6   15.4   15.7   18.6   14.5    8.7    4.9    0.0   -4.8    -4.4     5.2    16.3     4.5    5.40
1907  -12.5   -6.8   -2.6    3.4    7.0   15.2   17.7   13.7   10.1    7.6   -2.0  -13.2    -8.0     2.6    15.5     5.2    3.83
1908   -8.0   -5.9   -4.7    3.6    7.2   13.8   16.6   15.2    9.7    4.7   -3.5   -3.8    -9.0     2.0    15.2     3.6    2.96
1909   -4.4  -10.9   -3.3    0.2    5.8   14.0   16.3   15.2   12.6    9.2   -2.4   -2.6    -6.4     0.9    15.2     6.5    4.04
1910   -5.4   -2.4    0.2    6.0   11.0   15.2   17.5   13.6   11.9    3.9   -2.4   -1.6    -3.5     5.7    15.4     4.5    5.54
1911   -6.3  -12.3   -3.6    1.6   10.5   13.5   15.9   17.9   10.5    4.2    2.6   -3.3    -6.7     2.8    15.8     5.8    4.41
1912  -11.8  -11.7    0.6    0.2    8.4   16.1   17.2   17.6   10.0    1.4   -0.4   -1.8    -8.9     3.1    17.0     3.7    3.69
1913   -5.9   -7.1   -0.8    6.4    8.2   13.5   19.0   17.8   11.8    3.7    2.0   -5.2    -4.9     4.6    16.8     5.8    5.57
1914   -8.7   -2.0   -2.6    3.4   11.0   16.2   21.1   13.7   10.6    2.8   -1.1   -0.6    -5.3     3.9    17.0     4.1    4.93
1915   -8.0   -6.8   -8.5    2.6    8.5   12.7   19.1   15.2   10.3    3.0   -2.7  -13.3    -5.1     0.9    15.7     3.5    3.73
1916   -4.9   -4.1   -4.5    4.0    7.8   14.3   19.4   13.6    8.6    2.1    1.8   -4.1    -7.4     2.4    15.8     4.2    3.73
1917  -11.0  -14.5  -11.1    2.9    6.9   18.5   15.9   19.0   11.2    7.1    0.9   -5.4    -9.9    -0.4    17.8     6.4    3.48
1918  -10.7   -6.8   -4.7    4.6    6.4   12.4   17.9   13.6   10.4    7.9    1.8   -5.7    -7.6     2.1    14.6     6.7    3.95
1919   -5.3   -9.7   -7.4    2.3    9.5   16.2   19.5   14.5   12.4    5.3   -5.1   -8.5    -6.9     1.5    16.7     4.2    3.88
1920   -9.6   -4.0    0.8    7.7   13.9   14.6   19.7   17.1   12.5    2.2    0.6   -4.2    -7.4     7.5    17.1     5.1    5.58
1921   -7.6   -9.5    0.6    8.4   14.5   15.8   15.7   16.0   10.0    3.2   -5.8   -6.5    -7.1     7.8    15.8     2.5    4.76
1922   -9.9   -7.9   -3.9    3.0   10.0   15.4   17.7   15.9   11.3    3.2   -0.8   -5.5    -8.1     3.0    16.3     4.6    3.96
1923   -3.8  -13.3   -5.3   -0.2    8.0   11.9   17.1   13.4   11.8    6.3    2.4   -4.3    -7.5     0.8    14.1     6.8    3.57
1924  -10.0   -8.1   -4.6    0.8    9.7   14.4   17.2   17.3   13.2    6.7    1.3   -2.0    -7.5     2.0    16.3     7.1    4.47
1925   -0.4   -1.4   -4.6    5.6   11.1   14.2   20.3   16.2   10.8    3.0   -3.5   -7.4    -1.3     4.0    16.9     3.4    5.78
1926  -12.8   -8.8   -4.2    0.9   10.6   16.0   17.9   15.1   11.1    2.4    1.9   -7.0    -9.7     2.4    16.3     5.1    3.56
1927   -9.6   -6.8   -1.8    2.6    7.4   13.7   21.9   18.6   11.0    3.1   -2.8   -7.9    -7.8     2.7    18.1     3.8    4.19
1928   -5.8   -7.7   -4.3    2.9   10.6   11.9   15.1   15.2   10.9    5.2    2.8   -3.0    -7.1     3.1    14.1     6.3    4.08
1929  -10.2  -16.4   -4.9   -1.7   12.2   14.0   17.9   16.8   10.5    7.0    2.6    0.3    -9.9     1.9    16.2     6.7    3.73
1930    0.8   -6.5   -1.5    5.1   12.6   15.0   18.5   17.6    8.8    5.8    1.3   -6.8    -1.8     5.4    17.0     5.3    6.48
1931   -7.7  -10.3   -6.5    3.2   12.0   12.6   19.2   17.2    9.1    4.4    0.2   -5.5    -8.3     2.9    16.3     4.6    3.88
1932   -2.3  -10.4   -6.5    3.6   10.9   14.3   20.2   18.7   12.3    5.1    0.1    1.1    -6.1     2.7    17.7     5.8    5.04
1933   -8.8   -7.7   -2.9    3.5    8.1   15.8   18.8   14.6   11.0    5.0   -2.2   -7.1    -5.1     2.9    16.4     4.6    4.69
1934   -2.9   -5.4   -1.9    4.2   12.7   14.0   20.0   17.2   14.6    7.7    3.0   -5.2    -5.1     5.0    17.1     8.4    6.34
1935   -7.9   -4.2   -2.9    3.1    7.0   15.9   15.7   16.7   10.7    7.9    0.0   -1.9    -5.8     2.4    16.1     6.2    4.73
1936   -4.3  -10.8   -0.5    4.3   11.5   19.2   20.6   16.7   10.6    2.5    2.0    0.0    -5.7     5.1    18.8     5.0    5.83
1937   -7.5   -6.6   -1.6    6.6   11.8   18.2   18.2   19.0   13.1    6.4    2.0   -8.9    -4.7     5.6    18.5     7.2    6.63
1938   -6.7   -3.6    0.5    3.0    9.7   14.4   21.6   19.4   14.8    6.5    3.4   -6.3    -6.4     4.4    18.5     8.2    6.18
1939   -7.4   -1.7   -2.5    1.6    9.1   15.8   19.0   19.8    8.8    2.2    0.7   -6.0    -5.1     2.7    18.2     3.9    4.93
1940  -14.6  -14.5   -8.4    1.7   11.6   14.7   19.2   16.4   11.2    4.7    1.1   -5.9   -11.7     1.6    16.8     5.7    3.09
1941  -14.0   -8.6   -5.9    0.0    6.4   11.9   21.1   17.1    8.7    1.4   -4.2  -12.6    -9.5     0.2    16.7     2.0    2.33
1942  -18.7  -12.4  -11.5    1.8    8.3   14.1   16.6   16.9   11.1    6.9   -2.4   -4.1   -14.6    -0.5    15.9     5.2    1.51
1943  -11.8   -3.1   -0.3    4.4   10.1   16.1   17.5   16.0   11.6    7.8    1.3   -1.1    -6.3     4.7    16.5     6.9    5.46
1944   -3.4   -5.6   -2.7    0.3    9.5   14.1   18.5   17.1   11.5    6.6   -0.2   -3.3    -3.4     2.4    16.6     6.0    5.38
1945   -6.6   -4.8   -5.9    3.0    7.8   14.1   19.1   17.8    9.3    2.5   -1.2   -9.7    -4.9     1.6    17.0     3.5    4.32
1946   -5.7  -10.0   -4.2    3.5    8.7   16.6   18.7   16.5   11.6    2.0   -1.3   -4.1    -8.5     2.7    17.3     4.1    3.89
1947   -8.4  -14.8   -6.9    3.5    8.7   16.6   17.1   16.1   12.6    4.5   -1.1   -4.6    -9.1     1.8    16.6     5.3    3.65
1948   -7.7   -9.6   -3.9    4.0   12.7   17.2   16.7   15.6   11.4    5.2    0.6   -1.3    -7.3     4.3    16.5     5.7    4.80
1949   -2.2   -2.9   -2.3    4.5   12.8   13.7   17.1   14.8   13.9    6.0    0.9   -1.5    -2.1     5.0    15.2     6.9    6.25
1950  -13.9   -5.9   -2.3    7.2   10.2   14.0   15.9   15.6   12.0    5.7    0.4   -3.7    -7.1     5.0    15.2     6.0    4.78
1951   -8.3   -7.6   -5.6    5.5    7.1   14.8   16.0   18.5   12.6    5.8   -2.0   -0.8    -6.5     2.3    16.4     5.5    4.43
1952   -2.4   -4.8   -9.4    4.1    7.4   14.7   17.3   15.2    9.6    2.8   -1.1   -3.6    -2.7     0.7    15.7     3.8    4.38
1953   -7.2  -11.9   -1.9    5.6    9.7   18.0   18.1   16.0    9.6    6.8    0.3   -3.1    -7.6     4.5    17.4     5.6    4.96
1954   -8.7  -12.1   -1.1    1.9   10.7   15.8   18.6   16.4   11.8    5.6   -1.0   -1.2    -8.0     3.8    16.9     5.5    4.57
1955   -5.9   -7.9   -5.9   -0.8    7.1   13.0   17.5   19.0   14.2    7.2   -2.4  -13.9    -5.0     0.1    16.5     6.3    4.49
1956   -9.2  -14.8   -4.2    0.4    9.0   18.1   15.3   14.0    9.1    4.8   -3.5   -2.4   -12.6     1.7    15.8     3.5    2.09
1957   -3.3   -2.3   -7.2    3.0   11.1   13.7   19.5   16.0   10.6    5.8    1.1   -2.3    -2.7     2.3    16.4     5.8    5.47
1958   -7.5   -8.7   -6.9    2.3    9.3   14.0   16.6   14.5   10.7    6.3    2.6   -8.0    -6.2     1.6    15.0     6.5    4.24
1959   -4.1   -3.7   -0.7    4.6   10.4   16.4   19.1   17.9    8.5    3.8   -0.8   -6.7    -5.3     4.8    17.8     3.8    5.28
1960   -9.9   -9.6   -5.3    3.8   12.0   16.8   20.2   16.6   10.2    2.8   -1.5    0.0    -8.7     3.5    17.9     3.8    4.12
1961   -3.4   -0.7    0.0    2.5   11.2   18.4   17.8   15.6   10.2    8.3    1.1   -5.4    -1.4     4.6    17.3     6.5    6.75
1962   -3.2   -5.2   -7.0    6.0    9.7   12.4   16.2   14.0   10.7    6.8    1.8   -5.1    -4.6     2.9    14.2     6.4    4.73
1963  -12.9  -11.2   -9.8    3.8   14.0   14.2   18.4   17.9   13.9    6.4   -0.2   -6.4    -9.7     2.7    16.8     6.7    4.12
1964   -4.0   -8.4   -5.2    3.4   10.7   15.8   18.0   15.3   11.0    8.2   -1.4   -3.1    -6.3     3.0    16.4     5.9    4.75
1965   -5.3   -8.8   -3.5    4.2    7.2   15.8   15.6   15.3   13.1    5.2   -4.3   -2.9    -5.7     2.6    15.6     4.7    4.28
1966  -14.9  -13.9   -2.8    1.1   10.7   17.0   18.2   15.3    9.2    5.8    0.9   -8.1   -10.6     3.0    16.8     5.3    3.64
1967  -12.2   -6.7    1.7    4.5   11.2   14.1   17.5   17.4   13.4    8.9    2.8   -9.2    -9.0     5.8    16.3     8.4    5.38
1968  -16.5   -5.9   -0.7    3.8    9.4   17.1   14.2   17.4   11.1    2.6   -1.0   -3.0   -10.5     4.2    16.2     4.2    3.53
1969  -12.2   -9.3   -6.0    3.7    8.8   14.7   16.8   16.2   10.2    5.4    0.6   -5.8    -8.2     2.2    15.9     5.4    3.83
1970   -9.6   -9.6   -0.5    4.1   10.4   16.9   18.4   16.2   10.9    4.6   -0.9   -4.0    -8.3     4.7    17.2     4.9    4.59
1971   -2.3   -7.8   -4.5    2.8   10.6   14.5   17.5   16.5   10.2    4.3   -1.5   -3.7    -4.7     3.0    16.2     4.3    4.69
1972  -11.2   -4.1   -2.4    3.2   10.9   18.3   22.1   19.8   11.4    5.0    0.3    1.8    -6.3     3.9    20.1     5.6    5.80
1973   -5.3   -4.3   -1.5    5.0   11.6   17.4   20.3   15.9    8.1    3.0   -1.7   -6.0    -2.6     5.0    17.9     3.1    5.86
1974   -7.1    0.1    0.2    1.9    7.1   16.0   18.2   15.8   13.8    7.3    2.2    0.1    -4.3     3.1    16.7     7.8    5.79
1975   -2.0   -4.8    0.7    5.4   13.6   14.7   18.6   16.9   13.8    5.2   -0.6   -2.2    -2.2     6.6    16.7     6.1    6.80
1976  -11.2   -8.6   -3.7    2.7   10.3   11.9   16.5   14.4    9.4    1.0    0.0   -3.9    -7.3     3.1    14.3     3.5    3.38
1977   -7.2   -7.9   -2.5    4.4   11.3   16.0   21.5   16.0    9.7    0.5    2.4   -6.1    -6.3     4.4    17.8     4.2    5.03
1978   -7.0  -11.5   -1.3    2.5   10.7   14.5   16.6   14.8    9.7    3.9    2.6  -13.5    -8.2     4.0    15.3     5.4    4.12
1979   -8.9  -10.1   -0.7    2.6   12.5   16.4   16.6   17.3   11.1    5.0    1.6   -3.2   -10.8     4.8    16.8     5.9    4.16
1980   -9.0   -8.1   -4.6    5.0    7.7   18.6   17.0   15.5   11.1    5.9   -1.7   -3.4    -6.8     2.7    17.0     5.1    4.52
1981   -4.4   -5.1   -4.6    1.7   11.9   16.0   19.1   15.6   11.1    7.9   -0.1   -5.3    -4.3     3.0    16.9     6.3    5.48
1982  -10.6   -6.8   -0.1    4.1   10.4   11.9   17.7   16.6   11.2    5.3    3.7   -0.3    -7.6     4.8    15.4     6.7    4.84
1983   -2.2   -8.6   -2.6    7.6   13.6   14.6   18.7   16.8   12.6    6.4   -0.4   -2.8    -3.7     6.2    16.7     6.2    6.35
1984   -3.4   -5.4   -2.8    5.8   14.5   15.5   17.0   15.7   11.3    7.8   -0.5   -4.6    -3.9     5.8    16.1     6.2    6.06
1985  -13.7  -14.8   -0.8    2.3   10.1   13.4   16.3   18.4   10.9    7.5   -1.0   -6.0   -11.0     3.9    16.0     5.8    3.67
1986   -6.7  -11.1    0.9    5.0   11.0   17.4   18.6   15.5    8.2    5.6    3.2   -7.8    -7.9     5.6    17.2     5.7    5.13
1987  -17.9   -5.6   -4.7    2.6   10.2   14.9   15.9   13.9    9.8    6.4   -2.0   -5.5   -10.4     2.7    14.9     4.7    2.98
1988   -4.7   -4.0   -0.6    3.1   13.2   17.9   21.0   15.7   12.2    6.2   -3.4   -6.1    -4.7     5.2    18.2     5.0    5.93
1989   -0.7    0.6    2.5    7.7   12.5   18.4   18.9   16.4   12.9    6.0    0.6   -5.0    -2.1     7.6    17.9     6.5    7.48
1990   -5.4    1.7    1.4    8.1    9.8   14.3   17.0   16.6    9.0    5.8   -0.5   -1.8    -2.9     6.4    16.0     4.8    6.07
1991   -4.4   -5.8   -0.8    4.8    9.9   15.3   18.4   17.5   11.2    7.2    3.4   -1.4    -4.0     4.6    17.1     7.3    6.24
1992   -2.7   -2.6    1.8    3.3   11.0   16.7   17.8   16.6   13.8    1.5   -2.5   -0.1    -2.2     5.4    17.0     4.3    6.11
1993   -2.3   -2.6   -1.1    4.1   13.9   12.9   16.9   14.8    7.3    4.3   -5.7   -3.2    -1.7     5.6    14.9     2.0    5.20
1994   -3.3  -12.0   -1.9    7.1    9.4   14.2   19.7   16.4   12.6    5.3   -0.9   -3.0    -6.2     4.9    16.8     5.7    5.28
1995   -4.1   -0.3    1.1    4.8   11.1   19.2   16.5   16.9   12.3    8.3   -1.8   -8.6    -2.5     5.7    17.5     6.3    6.75
1996   -7.0  -10.7   -2.8    3.4   10.2   14.8   16.2   18.4    9.7    6.6    4.1   -5.2    -8.8     3.6    16.5     6.8    4.53
1997   -5.6   -3.4   -1.2    2.5    9.1   16.7   19.6   18.8   10.6    3.7   -0.5   -5.4    -4.7     3.5    18.4     4.6    5.43
1998   -1.7   -7.3   -4.2    3.6   10.8   16.4   18.1   14.7   11.8    6.5   -5.2   -4.1    -4.8     3.4    16.4     4.4    4.84
1999   -7.2   -8.0   -0.2    7.6    7.7   20.5   20.6   15.1   13.0    7.2   -0.1   -1.3    -6.4     5.0    18.7     6.7    6.01
2000   -4.4   -2.4   -0.5    8.1   10.5   14.5   18.2   16.6    9.0    8.4    2.6   -0.5    -2.7     6.0    16.4     6.7    6.61
2001   -2.5   -1.7   -3.8    8.0   10.2   15.2   21.8   16.8   12.7    7.1   -0.1   -8.8    -1.6     4.8    17.9     6.6    6.93
2002   -4.4   -0.6    0.5    6.7   12.4   16.8   20.8   18.8    7.7    1.5   -2.3   -9.7    -4.6     6.5    18.8     2.3    5.76
2003   -9.5   -5.8   -1.1    2.3   12.1   13.0   21.4   16.6   12.4    5.1    2.4   -0.8    -8.3     4.4    17.0     6.6    4.93
2004   -8.2   -5.4   -0.5    5.0   11.1   14.7   18.5   17.8   13.3    6.6   -0.1   -0.7    -4.8     5.2    17.0     6.6    6.00
2005   -1.6   -6.4   -6.1    4.7   11.1   15.4   20.1   17.9   13.6    7.7    3.5   -3.6    -2.9     3.2    17.8     8.3    6.60
2006   -5.8  -10.7   -5.9    5.4   11.8   17.0   19.2   18.9   14.2    8.1    1.7    3.0    -6.7     3.8    18.4     8.0    5.86
2007   -2.5  -10.6    3.6    5.2   12.3   16.0   18.5   19.6   12.1    7.5   -0.7    0.8    -3.4     7.0    18.0     6.3    7.00
2008   -1.7   -0.2    0.4    7.0   11.0   15.1   17.8   16.1   10.7    8.8    3.1   -0.8    -0.4     6.1    16.3     7.5    7.41
2009   -3.5   -3.9   -0.8    4.3   12.1   15.0   18.2   16.8   13.9    4.6    2.4   -5.1    -2.7     5.2    16.7     7.0    6.53
2010  -12.1   -8.4   -2.4    6.7   13.4   15.5   24.4   19.6   12.3    5.6    0.3   -8.3    -8.5     5.9    19.8     6.1    5.82
2011   -5.8  -11.0   -1.9    5.7   11.0   17.7   22.5   17.5   13.1    7.6    3.6    1.9    -8.4     4.9    19.2     8.1    5.98
2012   -4.9  -10.4   -1.0    4.9   12.7   15.3   19.5   16.3   12.9    6.6    2.9   -8.0    -4.5     5.5    17.0     7.5    6.39
2013   -6.1   -2.6   -6.6    4.2   14.4   19.8   19.0   18.6   12.0    7.3    4.4    0.9    -5.6     4.0    19.1     7.9    6.37
2014   -7.0    0.0    2.2    6.5   13.0   15.0   21.2   18.8   13.5    5.2    0.8   -1.0    -2.0     7.2    18.3     6.5    7.51
2015   -2.7   -0.6    2.6    5.1   11.8   15.9   16.9   18.3   14.0    5.6    3.1    2.1    -1.4     6.5    17.0     7.6    7.42
2016  -11.2    0.0    1.0    6.3   14.7   16.5   19.0   17.2   12.9    5.0   -1.8   -1.2    -3.0     7.3    17.6     5.4    6.81
2017   -3.9   -3.5    1.3    2.8    9.4   13.6   16.5   17.4   12.5    5.6  999.9  999.9    -2.9     4.5    15.8   999.9  999.90
